11189,11189,11189,1063,125,8,11189,11189,,69,1220,114,208,114,238,1005,159,2408,956,635,2271,86,816,362,82,46,119,827,204,53,24,173,69,11,14
5061,More flexible (?),q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
5062,同學更願意問問題,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5063,easier to read the words,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
5064,No need to go wake up too early,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
5065,Can use the video recorded for revision,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
5066,Can ask for clarification immediately and no need to wait until end of class,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5067,students are more active to ask questions and other can see the questionsLectures can be recorded easily for students'revisions,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
5068,"Online teaching enhanced participation between teacher and students since we can just simply click the ""Raise Hand"" button or type in questions in the chat box to ask questions.",g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5069,"We can ask questions if we get confused, which is embarrassing in face to face teaching.We also have video recordings which is better for revision",g,k,,,g k  ,G K  ,"Interaction & communication, Self-organised learning",,,,,,,,,Interaction & communication,,,Self-organised learning,,,,,,,,,,,,,,
5070,lecturer can answer our question easily. Student are more active to ask question,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5071,Student can learn at home,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
5072,"Asking question will be more easier, more interaction between prof./lecturer and students.",g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5073,WE can have recordings and ask questions much more easily.,g,k,,,g k  ,G K  ,"Interaction & communication, Self-organised learning",,,,,,,,,Interaction & communication,,,Self-organised learning,,,,,,,,,,,,,,
5074,easier to raise questions,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5075,no,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
5076,It's possible for professor to set up a single zoom room to explain more about questions difficult.  and records of the class can be put on bb.  it's easier for students to ask some problems on zoom now',k,g,,,k g  ,K G  ,"Interaction & communication, Self-organised learning",,,,,,,,,Interaction & communication,,,Self-organised learning,,,,,,,,,,,,,,
5077,no,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
5078,Teacher can have extra time to answer student's question,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5079,able to see lectures later. i could see some point i have missed later.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
5080,"Frankie intended to adapt some variation on teaching method and assisting teaching tools, online teaching gave him the flexibility to try some of them.",r,,,,r   ,R   ,On instructor,,,,,,,,,,,,,,,,,,,,On instructor,,,,,,
5081,Frankie is the best feature,r,,,,r   ,R   ,On instructor,,,,,,,,,,,,,,,,,,,,On instructor,,,,,,
5082,Recordings of lectures being available online for revision,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
5083,i can capture the screen immediately if i dont understand or i missed some of the notes,o,,,,o   ,O   ,Zoom functions/ online tools,,,,,,,,,,,,,,,Zoom functions/ online tools,,,,,,,,,,,
5084,沒有,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
5085,clearer (no distance problem in lecture room),n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
5086,The professor used all the online features in the appropriate places.,r,,,,r   ,R   ,On instructor,,,,,,,,,,,,,,,,,,,,On instructor,,,,,,
5087,The anotation available is quite good for teaching.,o,,,,o   ,O   ,Zoom functions/ online tools,,,,,,,,,,,,,,,Zoom functions/ online tools,,,,,,,,,,,
5088,因有錄影，可讓學生重溫課堂內容,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
5089,The writing (which is even more important than the slide itself) is super clear on the monitor screen comparing to the projector at campus. Can follow more easily.,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
5090,can replay the video once I get anything which I didn't understand,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
5091,Fast,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
5092,Good for revising,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
5093,It allows me to review the video of the lecture.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
5094,Can replay a few more times until i fully understand,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
5095,it is okay.,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
5096,Still ensures a lot of interaction between teachers and students。,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5097,more convenient,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
5098,可以更加方便的交流,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5099,We can easily get the share of various people who do well in regtech area.,j1,,,,j1   ,J1   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
5100,no advantage,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
5101,more likely to ask a question and get into the discussion,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5102,I can get familiar with how to use online platform to do presentation.,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
5103,There is video recording for each lecture which is helpful for reviewing.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
5104,We can exchange the information about coding easier.,j1,,,,j1   ,J1   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
5105,no time and place restriction,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
5106,No good feature,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
5107,more flexible on timetable and teaching places,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
5108,none,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
5109,線上和教授溝通很順暢,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5110,上课时间地点自由,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
5111,不能和老师面谈 要pre的课程很多 网络不好 影响同学pre的质量  ，写论文的时候不能很好的利用学校的图书资源,s,g,w,,s g w ,S G W ,"Interaction & communication, Technical IT",,,,,,,,,Interaction & communication,,,,,,,,,,,,Technical IT,,,,Learning support,
5112,沟通顺畅,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5113,可以更清楚的看到老師想分享的影片,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
5114,可以方便學生與老師同時閱讀文章及觀看短片,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5115,Convenient to share screen,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
5116,breakout room促進討論,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
5117,看文章較課堂上清晰,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
5118,no,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
5119,更多同學透過chat box參與討論,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5120,可以和不熟悉的同學做分組討論,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
5121,easier too see the slides. easier to do small group discussion,n,h,,,n h  ,N H  ,"Facilitation of group discussion and group works, Clarity of delivery",,,,,,,,,,Facilitation of group discussion and group works,,,,Clarity of delivery,,,,,,,,,,,,
5122,easy to read the Powerpoint slides,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
5123,discussion room幾好，可以同其他同學交流意見睇法，不過有時分到d組大家都係比較被動，傾幾句就完了，有時會分到同d比較積極嘅同學仔一齊討論會開心好多，可以激發到我都講多咗嘢,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
5124,Guest lectures were still taking place,f,,,,f   ,F   ,Organization of class,,,,,,,,Organization of class,,,,,,,,,,,,,,,,,,
5125,At least allowing us to have the guest lectures,f,,,,f   ,F   ,Organization of class,,,,,,,,Organization of class,,,,,,,,,,,,,,,,,,
5126,It is great that it can gather as much people in class as possible as the timeslot is not fixed in the regular timetable.,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
5127,More convenient,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
5128,No good features of online teaching,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
5129,nil,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
5130,沒有，一點沒有，一點點都沒有，應該給我退學費,b,v,,,b v  ,B V  ,"None, Others",,None,,,,,,,,,,,,,,,,,,,,,,Others,,
5131,it's convenient to watch movies together,j,,,,j   ,J   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
5132,I like the highlighted judgement and clearer to see on computer,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
5133,可以小組討論,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
5134,share screen令閱讀document更方便和清晰,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
5135,"Having poll is nice, we can interact more with professorWe can also easily submit our work to chatroom to professorBreakout rooms are convenient for group discussions",h,o,P2,,h o P2 ,H O P2 ,"Facilitation of group discussion and group works, Zoom functions/ online tools, Assignment",,,,,,,,,,Facilitation of group discussion and group works,,,,,Zoom functions/ online tools,,Assignment,,,,,,,,,
5136,Interactive and engaging,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5137,"can have polls to engage participation when discussing issues, easier to receive information because it is mainly teacher talk and online teaching can ensure that students can hear the teacher clearly",g,o,,,g o  ,G O  ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5138,the break out room can cater needs of discussion,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
5139,No need to back to to school so early on Saturday morning,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
5140,It's like a mini online newsroom.,v,,,,v   ,V   ,Others,,,,,,,,,,,,,,,,,,,,,,,,Others,,
5141,"when learning to use some software or websites in lab at cuhk, I often cannot follow the pace of teacher because it is difficult to see the projector and it is easy to miss instruction. But when using online teaching, it is easier to see the teacher's demonstration and I can follow it step-by-step by re-watching the recording.",k,n,,,k n  ,K N  ,"Self-organised learning, Clarity of delivery",,,,,,,,,,,,Self-organised learning,,Clarity of delivery,,,,,,,,,,,,
5142,因課程較多技術性內容和分析，下課後可以重看錄制影片，比起只看PPT更易複習內容,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
5143,"The break groups in zoom was a really good way for us to discuss the topics taught in class, so we were actually involved in the discussion",h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
5144,The Panopto tool to see again the explications,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
5145,Break out room discussions,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
5146,There is nothing good about online teaching,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
5147,沒有,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
5148,Easier for interaction,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5149,No,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
5150,"listen more from lecturer, less interaction",n,g,,,n g  ,N G  ,"Interaction & communication, Clarity of delivery",,,,,,,,,Interaction & communication,,,,,Clarity of delivery,,,,,,,,,,,,
5151,students are more willing to interact with teacher in the chatbox now,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5152,in some cases we can give feedback instantly,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5153,The professor replies very quickly to emails and is very understanding and adapts to the students' needs when needed.,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5154,Grace is really kind and shared with us her notes in the ppt. So we can really follow the requirements as they were given so clearly.,k,j,,,k j  ,K J  ,"Learning content/ resources, Self-organised learning",,,,,,,,,,,Learning content/ resources,Self-organised learning,,,,,,,,,,,,,,
5155,Easy to share videos and assign group discussions,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
5156,I am less afraid of speaking up.Increased communication with teachers.,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5157,可以睇返recording,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
5158,"it's more convenient and clear to watch the video; since the time slot of this course is late, online teaching actually makes it not that tired as before. because students can eat while listening and online teaching saves time of going home.",n,d,,,n d  ,N D  ,"Learning environment, Clarity of delivery",,,,,,Learning environment,,,,,,,,Clarity of delivery,,,,,,,,,,,,
5159,沒有親身學習使用機器的機會,p3,,,,p3   ,P3   ,Learning activities,,,,,,,,,,,,,,,,,,Learning activities,,,,,,,,
5160,avoid commuting time,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
5161,課堂時間在晚上，網上教學可以不用在晚上外出。,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
5162,可以播放不同範例，不同類型音樂，供同學參考,j,,,,j   ,J   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
5163,can play and listen to music online.,u,,,,u   ,U   ,Learning result and effectiveness,,,,,,,,,,,,,,,,,,,,,,,Learning result and effectiveness,,,
5164,can lay on bed,d,,,,d   ,D   ,Learning environment,,,,,,Learning environment,,,,,,,,,,,,,,,,,,,,
5165,節省上學通勤時間,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
5166,Interactive.,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5167,Flexibility,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
5168,three hours are pretty long without a break. using online teaching is more relaxing because I can do stretching and change my posture easily during the lesson.,h,d,,,h d  ,H D  ,"Learning environment, Facilitation of group discussion and group works",,,,,,Learning environment,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
5169,"Encourage students to ask questions, better interaction with the guests",g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5170,因為zoom 請到啲意想不到 正常唔會見到嘅嘉賓,p3,,,,p3   ,P3   ,Learning activities,,,,,,,,,,,,,,,,,,Learning activities,,,,,,,,
5171,Encourage class participation,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5172,交流更加方便,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5173,nil,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
5174,NO,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
5175,沒有,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
5176,none,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
5177,Encourage class participation,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5178,all are good,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
5179,能自由安排时间,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
5180,The lectures can be recorded and we students can watch it again and again.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
5181,no,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
5182,鼓勵同學更放開自己,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5183,无,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
5184,Flexible time,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
5185,Separating students into the break-out room to discuss the questions.,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
5186,the e-book is available,j,,,,j   ,J   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
5187,"For people who may not understand immediately, they can simply replay the lecture video and catch up.Also, students are more encouraging and they will send out their questions without hesitation.",k,g,,,k g  ,K G  ,"Interaction & communication, Self-organised learning",,,,,,,,,Interaction & communication,,,Self-organised learning,,,,,,,,,,,,,,
5188,convenient,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
5189,easier to discuss with teacher,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
5190,可以更清楚看到ppt的內容,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
5191,Easier to share teaching and learning materials,j1,,,,j1   ,J1   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
5192,"Ir is easier for the professor and students to have interaction because we can ask questions simply by pressing the ""raise hand"" function instead of waiting until the end of lessons and ask.",g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5193,Do the survey more rapidly.,o,,,,o   ,O   ,Zoom functions/ online tools,,,,,,,,,,,,,,,Zoom functions/ online tools,,,,,,,,,,,
5194,增加於老師私人溝通,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5195,可以讓學生在說話時更加注重發音正確，因為收音問題可能令發音更加不準,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
5196,It allows us to participate through breakout room and making annotation on screen to increase our participation in class.,o,h,,,o h  ,O H  ,"Facilitation of group discussion and group works, Zoom functions/ online tools",,,,,,,,,,Facilitation of group discussion and group works,,,,,Zoom functions/ online tools,,,,,,,,,,,
5197,較以往方便,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
5198,Finding materials is more convenient.,q1,o,,,q1 o  ,Q1 O  ,"Zoom functions/ online tools, Overall convenience ",,,,,,,,,,,,,,,Zoom functions/ online tools,,,,Overall convenience ,,,,,,,
5199,easily access,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
5200,bvguu,a,,,,a   ,A   ,Blank,Blank,,,,,,,,,,,,,,,,,,,,,,,,,
5201,easier,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
5202,The teacher and students can be closer than before when conducting learning.,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5203,interactive function,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5204,discussion,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5205,Enhanced participation,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5206,easy to make-up class,f,,,,f   ,F   ,Organization of class,,,,,,,,Organization of class,,,,,,,,,,,,,,,,,,
5207,Can share the teaching sources immediately,m,,,,m   ,M   ,Multitask,,,,,,,,,,,,,Multitask,,,,,,,,,,,,,
5208,便捷,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
5209,no,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
5210,没有太多优点,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
5211,"those time-limited assessments are not strictly timed, itis unfair to many students",p,,,,p   ,P   ,Assessment,,,,,,,,,,,,,,,,Assessment,,,,,,,,,,
5212,able to use more online resources to increase students understanding,o,,,,o   ,O   ,Zoom functions/ online tools,,,,,,,,,,,,,,,Zoom functions/ online tools,,,,,,,,,,,
5213,More interaction through the chatbox.,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5214,nope,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
5215,She tried to make use of breakout rooms to encourage discussions. Most assessments could still be carried out e.g. PSE and Oral Test.,h,p1,,,h p1  ,H P1  ,"Facilitation of group discussion and group works, Assessment",,,,,,,,,,Facilitation of group discussion and group works,,,,,,Assessment,,,,,,,,,,
5216,no,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
5217,Nothing!,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
5218,Convenient,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
5219,no,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
5220,no,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
5221,Powerpoint can be clearly shown to the students and students are allowed to use different functions to participate in class instead of speak up in front of the whole class.,n,g,,,n g  ,N G  ,"Interaction & communication, Clarity of delivery",,,,,,,,,Interaction & communication,,,,,Clarity of delivery,,,,,,,,,,,,
5222,zoom is shit,y,,,,y   ,Y   ,,,,,,,,,,,,,,,,,,,,,,,,,,,No zoom
5223,更加casual，willing to express ideas,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5224,完全不可以,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
5225,convenient,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
5226,Can attend the lesson at any time.,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
5227,It’s good to drop down notes through technology,o,,,,o   ,O   ,Zoom functions/ online tools,,,,,,,,,,,,,,,Zoom functions/ online tools,,,,,,,,,,,
5228,nothing,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
5229,課程視頻record下來可以回看,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
5230,We need to focus on listening and that improves our listening skills.,u,,,,u   ,U   ,Learning result and effectiveness,,,,,,,,,,,,,,,,,,,,,,,Learning result and effectiveness,,,
5231,I don’t know,c,,,,c   ,C   ,IDK/ same,,,,IDK/ same,,,,,,,,,,,,,,,,,,,,,,
5232,no need face to face,v,,,,v   ,V   ,Others,,,,,,,,,,,,,,,,,,,,,,,,Others,,
5233,no. same with face to face teaching.,c,,,,c   ,C   ,IDK/ same,,,,IDK/ same,,,,,,,,,,,,,,,,,,,,,,
5234,We don't need to spend plenty of time to attend the class.,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
5235,有更多时间可以和同学练习,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
5236,節約時間,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
5237,"teacher can share her screen with marks on that, It make the content more clear.",n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
5238,save time,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
5239,saving paper,v,,,,v   ,V   ,Others,,,,,,,,,,,,,,,,,,,,,,,,Others,,
5240,It is more effective to have the online teaching as all students can take the radio at the same time for critical reading practice rather than taking turns to speak to peers.,p3,,,,p3   ,P3   ,Learning activities,,,,,,,,,,,,,,,,,,Learning activities,,,,,,,,
5241,save time,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
5242,Annotation can allow us to work together as a whole class,o,,,,o   ,O   ,Zoom functions/ online tools,,,,,,,,,,,,,,,Zoom functions/ online tools,,,,,,,,,,,
5243,可以互动,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5244,online pollannotate function on zoom to facilitate interaction,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5245,interaction through chat and notation is even better than face to face teaching,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
5246,Students can get access to notes easier,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
5247,many resource can be used in web browser which didn't affect too much,j,,,,j   ,J   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
5248,N.A.,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
