9105,9105,9105,9105,9105,9105,9105,9105,9105,9105,9105,9105,,9105,109,1294,97,335,46,189,396,259,433,223,1376,669,497,288,264,418,153,218,576,1120,251,274,120,257
6090,"The course are too compact and informative, however, most  tutors mainly involved are try to push information to student  without proper arrangement systematically  or jump steps teaching just assume we had good background or knowledge,",u,r,,,u r  ,course,tutor,,,U R  ,"Course, On intructor","course, tutor",,,,,,,,course,,,,,,,,,,tutor,,,,,,
6091,有时老师的麦克风声音不够响,n,,,,n   ,microphone,,,,N   ,Clarity of delivery,microphone,,,,,,,,,,,,,,,,microphone,,,,,,,,
6092,"The course are too compact and informative, however, most  tutors mainly involved are try to push information to student  without proper arrangement systematically  or jump steps teaching just assume we had good background or knowledge,",u,r,,,u r  ,course,tutor,,,U R  ,"Course, On intructor","course, tutor",,,,,,,,course,,,,,,,,,,tutor,,,,,,
6093,有时老师的麦克风声音不够响,n,,,,n   ,microphone,,,,N   ,Clarity of delivery,microphone,,,,,,,,,,,,,,,,microphone,,,,,,,,
6094,"The course are too compact and informative, however, most  tutors mainly involved are try to push information to student  without proper arrangement systematically  or jump steps teaching just assume we had good background or knowledge,",u,r,,,u r  ,course,tutor,,,U R  ,"Course, On intructor","course, tutor",,,,,,,,course,,,,,,,,,,tutor,,,,,,
6095,有时老师的麦克风声音不够响,n,,,,n   ,microphone,,,,N   ,Clarity of delivery,microphone,,,,,,,,,,,,,,,,microphone,,,,,,,,
6096,"The course are too compact and informative, however, most  tutors mainly involved are try to push information to student  without proper arrangement systematically  or jump steps teaching just assume we had good background or knowledge,",u,r,,,u r  ,course,tutor,,,U R  ,"Course, On intructor","course, tutor",,,,,,,,course,,,,,,,,,,tutor,,,,,,
6097,no,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
6098,"Since we were forced to use online learning for such a complex and multi-discipline course, I was hoping that the professors of this course can be more fluent and clear-expressing during the lecture. However, from what I have received, I think the expression and grammar of some lecturers were not so fluent or easy-understanding, making it less efficient for me, if not all of the class, to absorb and understand the lecture's content. Sometimes the accent and the grammar were hard to understand. I think a good expression in English to convey ideas is vital for such a difficult and complex course.   So after the class, I still needed to spend a lot of time doing the searching for things that I would have been completed during the course.So, from my point of view, I think the lecturers should find a way to better adjust their oral speaking and grammar for such courses. If possible, I think the form of teaching and assessment should be considered adjusted, too. In a way that the lecturers can receive feedbacks quicker. And also better assess the students' learning outcome.",p,,,,p   ,assessment,,,,P   ,Assessment,assessment,,,,,,,,,,,,,,,,,,,assessment,,,,,
6099,"The lecture material of MRI was consituted mainly  with pictures and insufficient explanations about the topic! In addition, the MRI lecture was taught in putonghua which in not up to standard and I cant understand this language.  The subject of advance microscopy only intorduced very brief knowledge and not very useful for further career development.",n,j,,,n j  ,medium of instruction,material quality,,,N J  ,"Course material, Clarity of delivery","material quality, medium of instruction",,,,,,,,,,,,,material quality,,,medium of instruction,,,,,,,,
6100,Lecture should be conducted mainly in English rather than Mandarin.,n,,,,n   ,medium of instruction,,,,N   ,Clarity of delivery,medium of instruction,,,,,,,,,,,,,,,,medium of instruction,,,,,,,,
6101,no,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
6102,"Since we were forced to use online learning for such a complex and multi-discipline course, I was hoping that the professors of this course can be more fluent and clear-expressing during the lecture. However, from what I have received, I think the expression and grammar of some lecturers were not so fluent or easy-understanding, making it less efficient for me, if not all of the class, to absorb and understand the lecture's content. Sometimes the accent and the grammar were hard to understand. I think a good expression in English to convey ideas is vital for such a difficult and complex course.   So after the class, I still needed to spend a lot of time doing the searching for things that I would have been completed during the course.So, from my point of view, I think the lecturers should find a way to better adjust their oral speaking and grammar for such courses. If possible, I think the form of teaching and assessment should be considered adjusted, too. In a way that the lecturers can receive feedbacks quicker. And also better assess the students' learning outcome.",p,,,,p   ,assessment,,,,P   ,Assessment,assessment,,,,,,,,,,,,,,,,,,,assessment,,,,,
6103,"The lecture material of MRI was consituted mainly  with pictures and insufficient explanations about the topic! In addition, the MRI lecture was taught in putonghua which in not up to standard and I cant understand this language.  The subject of advance microscopy only intorduced very brief knowledge and not very useful for further career development.",n,j,,,n j  ,medium of instruction,material quality,,,N J  ,"Course material, Clarity of delivery","material quality, medium of instruction",,,,,,,,,,,,,material quality,,,medium of instruction,,,,,,,,
6104,Lecture should be conducted mainly in English rather than Mandarin.,n,,,,n   ,medium of instruction,,,,N   ,Clarity of delivery,medium of instruction,,,,,,,,,,,,,,,,medium of instruction,,,,,,,,
6105,no,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
6106,"Since we were forced to use online learning for such a complex and multi-discipline course, I was hoping that the professors of this course can be more fluent and clear-expressing during the lecture. However, from what I have received, I think the expression and grammar of some lecturers were not so fluent or easy-understanding, making it less efficient for me, if not all of the class, to absorb and understand the lecture's content. Sometimes the accent and the grammar were hard to understand. I think a good expression in English to convey ideas is vital for such a difficult and complex course.   So after the class, I still needed to spend a lot of time doing the searching for things that I would have been completed during the course.So, from my point of view, I think the lecturers should find a way to better adjust their oral speaking and grammar for such courses. If possible, I think the form of teaching and assessment should be considered adjusted, too. In a way that the lecturers can receive feedbacks quicker. And also better assess the students' learning outcome.",p,,,,p   ,assessment,,,,P   ,Assessment,assessment,,,,,,,,,,,,,,,,,,,assessment,,,,,
6107,"The lecture material of MRI was consituted mainly  with pictures and insufficient explanations about the topic! In addition, the MRI lecture was taught in putonghua which in not up to standard and I cant understand this language.  The subject of advance microscopy only intorduced very brief knowledge and not very useful for further career development.",n,j,,,n j  ,medium of instruction,material quality,,,N J  ,"Course material, Clarity of delivery","material quality, medium of instruction",,,,,,,,,,,,,material quality,,,medium of instruction,,,,,,,,
6108,Lecture should be conducted mainly in English rather than Mandarin.,n,,,,n   ,medium of instruction,,,,N   ,Clarity of delivery,medium of instruction,,,,,,,,,,,,,,,,medium of instruction,,,,,,,,
6109,no,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
6110,"Since we were forced to use online learning for such a complex and multi-discipline course, I was hoping that the professors of this course can be more fluent and clear-expressing during the lecture. However, from what I have received, I think the expression and grammar of some lecturers were not so fluent or easy-understanding, making it less efficient for me, if not all of the class, to absorb and understand the lecture's content. Sometimes the accent and the grammar were hard to understand. I think a good expression in English to convey ideas is vital for such a difficult and complex course.   So after the class, I still needed to spend a lot of time doing the searching for things that I would have been completed during the course.So, from my point of view, I think the lecturers should find a way to better adjust their oral speaking and grammar for such courses. If possible, I think the form of teaching and assessment should be considered adjusted, too. In a way that the lecturers can receive feedbacks quicker. And also better assess the students' learning outcome.",p,,,,p   ,assessment,,,,P   ,Assessment,assessment,,,,,,,,,,,,,,,,,,,assessment,,,,,
6111,"The lecture material of MRI was consituted mainly  with pictures and insufficient explanations about the topic! In addition, the MRI lecture was taught in putonghua which in not up to standard and I cant understand this language.  The subject of advance microscopy only intorduced very brief knowledge and not very useful for further career development.",n,j,,,n j  ,medium of instruction,material quality,,,N J  ,"Course material, Clarity of delivery","material quality, medium of instruction",,,,,,,,,,,,,material quality,,,medium of instruction,,,,,,,,
6112,Lecture should be conducted mainly in English rather than Mandarin.,n,,,,n   ,medium of instruction,,,,N   ,Clarity of delivery,medium of instruction,,,,,,,,,,,,,,,,medium of instruction,,,,,,,,
6113,no,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
6114,"Since we were forced to use online learning for such a complex and multi-discipline course, I was hoping that the professors of this course can be more fluent and clear-expressing during the lecture. However, from what I have received, I think the expression and grammar of some lecturers were not so fluent or easy-understanding, making it less efficient for me, if not all of the class, to absorb and understand the lecture's content. Sometimes the accent and the grammar were hard to understand. I think a good expression in English to convey ideas is vital for such a difficult and complex course.   So after the class, I still needed to spend a lot of time doing the searching for things that I would have been completed during the course.So, from my point of view, I think the lecturers should find a way to better adjust their oral speaking and grammar for such courses. If possible, I think the form of teaching and assessment should be considered adjusted, too. In a way that the lecturers can receive feedbacks quicker. And also better assess the students' learning outcome.",p,,,,p   ,assessment,,,,P   ,Assessment,assessment,,,,,,,,,,,,,,,,,,,assessment,,,,,
6115,"The lecture material of MRI was consituted mainly  with pictures and insufficient explanations about the topic! In addition, the MRI lecture was taught in putonghua which in not up to standard and I cant understand this language.  The subject of advance microscopy only intorduced very brief knowledge and not very useful for further career development.",n,j,,,n j  ,medium of instruction,material quality,,,N J  ,"Course material, Clarity of delivery","material quality, medium of instruction",,,,,,,,,,,,,material quality,,,medium of instruction,,,,,,,,
6116,Lecture should be conducted mainly in English rather than Mandarin.,n,,,,n   ,medium of instruction,,,,N   ,Clarity of delivery,medium of instruction,,,,,,,,,,,,,,,,medium of instruction,,,,,,,,
6117,no,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
6118,"Since we were forced to use online learning for such a complex and multi-discipline course, I was hoping that the professors of this course can be more fluent and clear-expressing during the lecture. However, from what I have received, I think the expression and grammar of some lecturers were not so fluent or easy-understanding, making it less efficient for me, if not all of the class, to absorb and understand the lecture's content. Sometimes the accent and the grammar were hard to understand. I think a good expression in English to convey ideas is vital for such a difficult and complex course.   So after the class, I still needed to spend a lot of time doing the searching for things that I would have been completed during the course.So, from my point of view, I think the lecturers should find a way to better adjust their oral speaking and grammar for such courses. If possible, I think the form of teaching and assessment should be considered adjusted, too. In a way that the lecturers can receive feedbacks quicker. And also better assess the students' learning outcome.",p,,,,p   ,assessment,,,,P   ,Assessment,assessment,,,,,,,,,,,,,,,,,,,assessment,,,,,
6119,"The lecture material of MRI was consituted mainly  with pictures and insufficient explanations about the topic! In addition, the MRI lecture was taught in putonghua which in not up to standard and I cant understand this language.  The subject of advance microscopy only intorduced very brief knowledge and not very useful for further career development.",n,j,,,n j  ,medium of instruction,material quality,,,N J  ,"Course material, Clarity of delivery","material quality, medium of instruction",,,,,,,,,,,,,material quality,,,medium of instruction,,,,,,,,
6120,Lecture should be conducted mainly in English rather than Mandarin.,n,,,,n   ,medium of instruction,,,,N   ,Clarity of delivery,medium of instruction,,,,,,,,,,,,,,,,medium of instruction,,,,,,,,
6121,no,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
6122,"Since we were forced to use online learning for such a complex and multi-discipline course, I was hoping that the professors of this course can be more fluent and clear-expressing during the lecture. However, from what I have received, I think the expression and grammar of some lecturers were not so fluent or easy-understanding, making it less efficient for me, if not all of the class, to absorb and understand the lecture's content. Sometimes the accent and the grammar were hard to understand. I think a good expression in English to convey ideas is vital for such a difficult and complex course.   So after the class, I still needed to spend a lot of time doing the searching for things that I would have been completed during the course.So, from my point of view, I think the lecturers should find a way to better adjust their oral speaking and grammar for such courses. If possible, I think the form of teaching and assessment should be considered adjusted, too. In a way that the lecturers can receive feedbacks quicker. And also better assess the students' learning outcome.",p,,,,p   ,assessment,,,,P   ,Assessment,assessment,,,,,,,,,,,,,,,,,,,assessment,,,,,
6123,"The lecture material of MRI was consituted mainly  with pictures and insufficient explanations about the topic! In addition, the MRI lecture was taught in putonghua which in not up to standard and I cant understand this language.  The subject of advance microscopy only intorduced very brief knowledge and not very useful for further career development.",n,j,,,n j  ,medium of instruction,material quality,,,N J  ,"Course material, Clarity of delivery","material quality, medium of instruction",,,,,,,,,,,,,material quality,,,medium of instruction,,,,,,,,
6124,Lecture should be conducted mainly in English rather than Mandarin.,n,,,,n   ,medium of instruction,,,,N   ,Clarity of delivery,medium of instruction,,,,,,,,,,,,,,,,medium of instruction,,,,,,,,
6125,"I think should involve more activities like group works to encourage communication between classmates. We have very little if not none discussion with other classmates during the term. I planned to inspire myself by meeting more diverse ideas. However, I seldomly achieved this goal because I nearly spent all my year studying online. And thats not good. The university charged us the same tuition fee but we received less and less resources.",h,v,,,h v  ,group work,tuition,,,H V  ,"Discussion/ Group work, Others","group work, tuition",,,,,,,,,,,,group work,,,,,,,,,,,tuition,
6126,"I think should involve more activities like group works to encourage communication between classmates. We have very little if not none discussion with other classmates during the term. I planned to inspire myself by meeting more diverse ideas. However, I seldomly achieved this goal because I nearly spent all my year studying online. And thats not good. The university charged us the same tuition fee but we received less and less resources.",h,v,,,h v  ,group work,tuition,,,H V  ,"Discussion/ Group work, Others","group work, tuition",,,,,,,,,,,,group work,,,,,,,,,,,tuition,
6127,"I think should involve more activities like group works to encourage communication between classmates. We have very little if not none discussion with other classmates during the term. I planned to inspire myself by meeting more diverse ideas. However, I seldomly achieved this goal because I nearly spent all my year studying online. And thats not good. The university charged us the same tuition fee but we received less and less resources.",h,v,,,h v  ,group work,tuition,,,H V  ,"Discussion/ Group work, Others","group work, tuition",,,,,,,,,,,,group work,,,,,,,,,,,tuition,
6128,"I think should involve more activities like group works to encourage communication between classmates. We have very little if not none discussion with other classmates during the term. I planned to inspire myself by meeting more diverse ideas. However, I seldomly achieved this goal because I nearly spent all my year studying online. And thats not good. The university charged us the same tuition fee but we received less and less resources.",h,v,,,h v  ,group work,tuition,,,H V  ,"Discussion/ Group work, Others","group work, tuition",,,,,,,,,,,,group work,,,,,,,,,,,tuition,
6129,"I think should involve more activities like group works to encourage communication between classmates. We have very little if not none discussion with other classmates during the term. I planned to inspire myself by meeting more diverse ideas. However, I seldomly achieved this goal because I nearly spent all my year studying online. And thats not good. The university charged us the same tuition fee but we received less and less resources.",h,v,,,h v  ,group work,tuition,,,H V  ,"Discussion/ Group work, Others","group work, tuition",,,,,,,,,,,,group work,,,,,,,,,,,tuition,
6130,cannot address the problem that no practical experiments can be conducted too limited course time so some contents are not covered thoroughly,L,,,,L   ,experiments,,,,L   ,Learning activities,experiments,,,,,,,,,experiments,,,,,,,,,,,,,,,
6131,Course could be improved providing more legit practical examples in class.,j,,,,j   ,course materials - examples,,,,J   ,Course material,course materials - examples,,,,,,,,,,,,,course materials - examples,,,,,,,,,,,
6132,I think we should have more tutorial time to practice and learn.,u,,,,u   ,tutorial,,,,U   ,Course,tutorial,,,,,,,,tutorial,,,,,,,,,,,,,,,,
6133,"I am strongly dissatisfied with the assessment and grading methods. Online invigilation cannot avoid some students communicate with others or search relevant information on the internet. Therefore, there is still a possibility of cheating.It is sometimes difficult to recognise the hand writing from professor",p,,,,p   ,assessment,,,,P   ,Assessment,assessment,,,,,,,,,,,,,,,,,,,assessment,,,,,
6134,"More examples should be discussed, more breaks given, sitting on a chair and staring on my laptop for hours makes the material difficult to understand, too shy to ask questions.",f,j,u,,f j u ,breaks,examples,Learning result and effectiveness,,F J U ,"Class planning, Course, Course material","breaks, Learning result and effectiveness, examples",,,,,,,breaks,Learning result and effectiveness,,,,,examples,,,,,,,,,,,
6135,No room for instructor to write down any equations and steps for calculations to explain how the questions are solved.,n,,,,n   ,Maths expression/ equations,,,,N   ,Clarity of delivery,Maths expression/ equations,,,,,,,,,,,,,,,,Maths expression/ equations,,,,,,,,
6136,"At least give us a pass fail arrangement on this course. The professor is lacking motivation with teaching, powerpoint is lacking important information, we cannot use the school library for study and finding reference book for study (as the professor poorly explained the concept in the class. The professor should do more preparation before class, it is as if he is doing a rehearsal with constant lagging on his delivery during our lectures.",p,w,j,r,p w j r,P/F,library/ e-resources,course materials,lecturer,P W J R,"Course material, Learning support, On intructor, Assessment","course materials, library/ e-resources, lecturer, P/F",,,,,,,,,,,,,course materials,,library/ e-resources,,,lecturer,P/F,,,,,
6137,"attendance should be not considered, as some of my friends are in different time zone, and is not convenient.",f,,,,f   ,attendance,,,,F   ,Class planning,attendance,,,,,,,attendance,,,,,,,,,,,,,,,,,
6138,"under this online arrangement, I believe it is necessary to provide pass/fail option for students. The lectures are often disturbed by lagging and internet factor, and the questions from students can rarely be properly addressed as it is hard to directly refer the confusion part on the slide and it is hard for the professor to clearly explain the concept through lagging, discontinuous tone with poor mouse writing. The worst part of the course is that the professor is not even suitable for teaching. The professor shows no passion on his professional field, and it is nearly impossible to influence and ignite students' interest towards the subject, eventually the revision of the course become a burden as it is not fun to learn anymore. The professor barely explain in-depth concepts and often perform calculation, and the style of presenting the powerpoint is reading is directly in a monotone manner. The lack of passion in teaching from the professors constantly remind me of the importance of having a good and solid education for any budding scholars, and the monotone and boring teaching will eventually drown our interest.",L,,,,L   ,field trips/ site visits,,,,L   ,Learning activities,field trips/ site visits,,,,,,,,,field trips/ site visits,,,,,,,,,,,,,,,
6139,This Prof has very bad English ability even I can’t understand one word from him. He don’t even know what he is doing during the lecture. How can we learn the knowledge effectively. I can surely tell this porf. is the worst I have ever seen.,v,,,,v   ,others,,,,V   ,Others,others,,,,,,,,,,,,,,,,,,,,,,,others,
6140,It is just hard to learn the knowledge online.,T,,,,T   ,Many,,,,T   ,Can't improve,Many,,,,,Many,,,,,,,,,,,,,,,,,,,
6141,"It is overall great, but attendance should't be counted when online teaching is applied, as some of my friend are from different timezone.",Q,f,,,Q f  ,it's good,schedule,,,Q F  ,"Class planning, It's good","schedule, it's good",,,,,,,schedule,,,,,,,,,,,,,,,,,it's good
6142,"I am strongly dissatisfied with the assessment and grading methods. Online invigilation cannot avoid some students communicate with others or search relevant information on the internet. Therefore, there is still a possibility of cheating.It is sometimes difficult to recognise the hand writing from professor",p,,,,p   ,assessment,,,,P   ,Assessment,assessment,,,,,,,,,,,,,,,,,,,assessment,,,,,
6143,connection problem with guest lecturer,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
6144,"The recorded lectures are promised to be sent to students if they have attended that lecture but the recorded lecture are not sent until the very end of the course, which makes revision using online lectures not very feasible.",k,,,,k   ,lecture recordings,,,,K   ,Recording,lecture recordings,,,,,,,,,,,,,,lecture recordings,,,,,,,,,,
6145,Zoom is not a gd platform,y,,,,y   ,no zoom,,,,Y   ,Choice of platform,no zoom,,,,,,,,,,,,,,,,,,,,,,no zoom,,
6146,need to login again in some meetings,s,,,,s   ,system stability,,,,S   ,IT-related,system stability,,,,,,,,,,,,,,,,,,,,system stability,,,,
6147,internet problem,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
6148,lab sessions are deleted due to the online teaching,w,,,,w   ,lab,,,,W   ,Learning support,lab,,,,,,,,,,,,,,,lab,,,,,,,,,
6149,The lab session can be replaced by other assessments.,p,,,,p   ,assessment,,,,P   ,Assessment,assessment,,,,,,,,,,,,,,,,,,,assessment,,,,,
6150,n.a,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
6151,Whiteboard to share hand-writing.,o,,,,o   ,whiteboard,,,,O   ,Tools for learning,whiteboard,,,,,,,,,,,,,,,,,whiteboard,,,,,,,
6152,Difficult to demonstrate calculations on whiteboard,n,,,,n   ,demonstration,,,,N   ,Clarity of delivery,demonstration,,,,,,,,,,,,,,,,demonstration,,,,,,,,
6153,None,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
6154,There were times when I had technical problems hearing. Group presentations on Zoom were also challenging.,n,h,,,n h  ,audio quality,group presentation,,,N H  ,"Discussion/ Group work, Clarity of delivery","group presentation, audio quality",,,,,,,,,,,,group presentation,,,,audio quality,,,,,,,,
6155,The demonstration of some teaching techniques which are supposed to be done in face-to-face lessons cannot be done in online lessons,n,,,,n   ,demonstration,,,,N   ,Clarity of delivery,demonstration,,,,,,,,,,,,,,,,demonstration,,,,,,,,
6156,老師照住ppt讀，感覺跟自學沒有太大分別,r,,,,r   ,lecturer,,,,R   ,On intructor,lecturer,,,,,,,,,,,,,,,,,,lecturer,,,,,,
6157,Could be more interesting,d,,,,d   ,not interesting/ boring,,,,D   ,Learn environment,not interesting/ boring,,,,,,not interesting/ boring,,,,,,,,,,,,,,,,,,
6158,沒有,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
6159,"- As some class activities are included but as groupmates are randomly assigned, it will be embarrassing if we do not know each other and have to complete the worksheet. It will be better if we can hqve groupmates with our own major classmates- May include some videos to explain certain educational issues or policies to make the teaching interesting",h,,,,h   ,breakout room,,,,H   ,Discussion/ Group work,breakout room,,,,,,,,,,,,breakout room,,,,,,,,,,,,
6160,can try using breakout room,h,,,,h   ,breakout room,,,,H   ,Discussion/ Group work,breakout room,,,,,,,,,,,,breakout room,,,,,,,,,,,,
6161,NOthing,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
6162,"Internet instability might lead to glitches/delay, causing a lot of inconvenience.",s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
6163,i think it’s fine for this course,Q,,,,Q   ,it's good,,,,Q   ,It's good,it's good,,,,,,,,,,,,,,,,,,,,,,,,it's good
6164,Presentation and discussion is limited which will affect marks,h,,,,h   ,group presentation,,,,H   ,Discussion/ Group work,group presentation,,,,,,,,,,,,group presentation,,,,,,,,,,,,
6165,網上教學把現實課堂的兩節課合併在同一節課教，太長,f,,,,f   ,too long,,,,F   ,Class planning,too long,,,,,,,too long,,,,,,,,,,,,,,,,,
6166,Not really.,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
6167,We can’t play badminton practically,L,,,,L   ,hands-on experience,,,,L   ,Learning activities,hands-on experience,,,,,,,,,hands-on experience,,,,,,,,,,,,,,,
6168,Open camera and force us to practise,f,L,,,f L  ,camera on/off,lack of practice,,,F L  ,"Class planning, Learning activities","camera on/off, lack of practice",,,,,,,camera on/off,,lack of practice,,,,,,,,,,,,,,,
6169,暫時沒想到,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
6170,The course can be improved through including a bit more time and examples spent on each individual badminton skill.,j,,,,j   ,course materials - examples,,,,J   ,Course material,course materials - examples,,,,,,,,,,,,,course materials - examples,,,,,,,,,,,
6171,"Play too much YouTube videos. When playing the YouTube videos, the network is poor sometimes. Cannot show the movement of hitting the ball, after lag, the badminton already in the other side. Better demonstrate the body movements on live by the teacher.",x,,,,x   ,Videoplay issue (lag),,,,X   ,Videoplay issue,Videoplay issue (lag),,,,,,,,,,,,,,,,,,,,,Videoplay issue (lag),,,
6172,對於運動的實際演示部分不是很清楚,n,,,,n   ,demonstration,,,,N   ,Clarity of delivery,demonstration,,,,,,,,,,,,,,,,demonstration,,,,,,,,
6173,Cannot learn practical skills. Can only watch videos.,L,,,,L   ,hands-on experience,,,,L   ,Learning activities,hands-on experience,,,,,,,,,hands-on experience,,,,,,,,,,,,,,,
6174,lack of practical teaching,L,,,,L   ,hands-on experience,,,,L   ,Learning activities,hands-on experience,,,,,,,,,hands-on experience,,,,,,,,,,,,,,,
6175,因體育課網上教學，所以未能實戰，只能從認知層面學習,L,,,,L   ,sports,,,,L   ,Learning activities,sports,,,,,,,,,sports,,,,,,,,,,,,,,,
6176,"The computer of the lecturer is lagging when using the YouYube video, while it is expected to be smooth as most of the video is about table tennis and the movement of the ball get chopped in the middle of the video",x,,,,x   ,Videoplay issue (lag),,,,X   ,Videoplay issue,Videoplay issue (lag),,,,,,,,,,,,,,,,,,,,,Videoplay issue (lag),,,
6177,No improvement needed since face-to-face teaching is a must for this course,e,,,,e   ,no more online,,,,E   ,Prefer f2f,no more online,,,,no more online,,,,,,,,,,,,,,,,,,,,
6178,Totally not suitable to have PE courses by online platforms (although I understand we have no choice in this hard time),e,,,,e   ,unsuitable for online,,,,E   ,Prefer f2f,unsuitable for online,,,,unsuitable for online,,,,,,,,,,,,,,,,,,,,
6179,This is PE course so it could have been better if there were face-to-face interactions,e,,,,e   ,prefer f2f,,,,E   ,Prefer f2f,prefer f2f,,,,prefer f2f,,,,,,,,,,,,,,,,,,,,
6180,不能實戰,L,,,,L   ,hands-on experience,,,,L   ,Learning activities,hands-on experience,,,,,,,,,hands-on experience,,,,,,,,,,,,,,,
6181,good,Q,,,,Q   ,it's good,,,,Q   ,It's good,it's good,,,,,,,,,,,,,,,,,,,,,,,,it's good
6182,Fine,Q,,,,Q   ,it's good,,,,Q   ,It's good,it's good,,,,,,,,,,,,,,,,,,,,,,,,it's good
6183,Unable to put to practise what one has learned.,L,,,,L   ,lack of practice,,,,L   ,Learning activities,lack of practice,,,,,,,,,lack of practice,,,,,,,,,,,,,,,
6184,缺乏親身接觸乒乓球的機會缺乏做運動的趣味性,L,,,,L   ,sports,,,,L   ,Learning activities,sports,,,,,,,,,sports,,,,,,,,,,,,,,,
6185,此科應改回當面授課。,e,,,,e   ,unsuitable for online,,,,E   ,Prefer f2f,unsuitable for online,,,,unsuitable for online,,,,,,,,,,,,,,,,,,,,
6186,I don't know,c,,,,c   ,IDK / no comment/ same,,,,C   ,IDK / no comment/ same,IDK / no comment/ same,,,IDK / no comment/ same,,,,,,,,,,,,,,,,,,,,,
6187,用zoom播片好lag,x,,,,x   ,Videoplay issue (lag),,,,X   ,Videoplay issue,Videoplay issue (lag),,,,,,,,,,,,,,,,,,,,,Videoplay issue (lag),,,
6188,Online lecture in Zoom has low resolution and video quality.,x,,,,x   ,Videoplay issue,,,,X   ,Videoplay issue,Videoplay issue,,,,,,,,,,,,,,,,,,,,,Videoplay issue,,,
6189,Wifi速度影片可更清晰,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
6190,it is hard to have PE online since the students could not really play the sports,e,,,,e   ,unsuitable for online,,,,E   ,Prefer f2f,unsuitable for online,,,,unsuitable for online,,,,,,,,,,,,,,,,,,,,
6191,- No room for physical practice- Instructor proficiency of online platform - Need more training for smooth beginning- Less reliance on PPT and videos,r,L,j,,r L j ,Lecturer - familarize with platform,lack of practice,course materials,,R L J ,"Learning activities, Course material, On intructor","lack of practice, course materials, Lecturer - familarize with platform",,,,,,,,,lack of practice,,,,course materials,,,,,Lecturer - familarize with platform,,,,,,
6192,"Not much could be improved on, as this subject is very challenging to teach through a screen",b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
6193,Use other applications instead of Zoom due to security issues it has,y,,,,y   ,another software,,,,Y   ,Choice of platform,another software,,,,,,,,,,,,,,,,,,,,,,another software,,
6194,We can't practice.,L,,,,L   ,lack of practice,,,,L   ,Learning activities,lack of practice,,,,,,,,,lack of practice,,,,,,,,,,,,,,,
6195,沒有,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
6196,沒有,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
6197,Cannot do sport,L,,,,L   ,sports,,,,L   ,Learning activities,sports,,,,,,,,,sports,,,,,,,,,,,,,,,
6198,无,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
6199,currently no,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
6200,There were no opportunities to exercise in real life,M,,,,M   ,classwork,,,,M   ,Assignment,classwork,,,,,,,,,,classwork,,,,,,,,,,,,,,
6201,Difficult to practice sports skills,L,,,,L   ,sports,,,,L   ,Learning activities,sports,,,,,,,,,sports,,,,,,,,,,,,,,,
6202,體育課用ZOOM上真的很難學到practical skills，尤其家裡未必有地方練習和拍影片，最終的考核方式對於早已經熟悉乒乓球的同學更為有利。不過，明白到有實際的限制，老師已經很用心教學。,L,,,,L   ,sports,,,,L   ,Learning activities,sports,,,,,,,,,sports,,,,,,,,,,,,,,,
6203,不能看到實際示範對教學成效上有限制,L,,,,L   ,hands-on experience,,,,L   ,Learning activities,hands-on experience,,,,,,,,,hands-on experience,,,,,,,,,,,,,,,
6204,可多鼓勵同學於課上開cam，令老師看到同學的進度,f,,,,f   ,camera on/off,,,,F   ,Class planning,camera on/off,,,,,,,camera on/off,,,,,,,,,,,,,,,,,
